LOCAL_IDENTIFIER,Z~x0<k,"vzo.""",+U@,A>.,hp!,>?64:,@wnsk>R,"U""r",&%)LTaWRb,r1Ng,|G},TSWm,r2Ng,maT_r,@V9,T\!,14W$Q,ZZw3=!t,.o<m,.b6nl,<!!,F'3Ku,~7*,MINDSPIKE_VERSION,9Z/5)2,%IiL7w,!;@Jw,fPqsI,ZVf,i]7V,Jv[i,";<""<i(T","Kj,",w-u:jN'qI,PZ8,jNhEum,]xq,v0rt3X,^%a;,b1oRb13,v1rt3X,0HU2N='U,ZrK,.6AvGp,3I\y,b2oRb13,CORRUCYSTIC_DENSITY
0,0.8968363894542467,-0.9165779371634639,0.6329300788879382,0.6329300788879382,-0.1866686099309678,0.42230084025054804,-0.9087599265507256,0.3559447934209561,-0.1162580035148164,0.38895226264570915,8.159378779246001,0.5813312221664103,1.037323509928809,corro,-0.0798595004344724,2.0514127800028943,8.159378779246001,,1.0346590178040223,43.092210373700226,564.8985108992024,kiv,-0.6020865005461918,,-0.5680074219572148,0.28206058077309343,0.16467854158836912,,0.7128449214648102,0.7385009125367946,0.7128449214648102,-0.71149342736635,43.092210373700226,0.9270400517950861,0.09176702977466222,0.45274193213769787,0.6473286309301581,0.8745387275967755,-0.14631413955870642,-8.65863464902004,0.672180391500008,0.9405073228508302,0.11723731961767477,0.6559472486163268,-0.6434815099713229,-7.553254396861432,521.4438341413374
1,0.785651618080232,-0.03143917037477642,0.26560004258870606,0.26560004258870606,,0.6361773647082327,0.32451923096322205,0.9331133313435577,-0.9751755169407339,-0.5290542129333555,2.2951492128280417,0.9983475113929496,-0.6891915032607461,corro,-0.8484286341908146,-0.5838457295826114,2.2951492128280417,1559.1084980667179,0.5950294658355647,9.148683739775487,1559.1084980667179,,0.5731278132412001,karbon,-2.058824824747361,-1.7858664919341112,-0.41299782214343406,,-1.6810950748640847,-0.5574230531083212,-1.6810950748640847,0.3011073391917421,9.148683739775487,0.6425651995351915,0.421248053294072,0.7356631142391898,-0.3596296724524624,,0.8174204629683188,5.426208436268995,1.0094228530825569,-0.9266983088473107,0.9741926639182666,1.0997506966264847,0.026357300229646663,1.0976663769934167,373.6969250436152
2,0.29431267864313715,-0.13539299497394602,0.9507496060422586,0.9507496060422586,-0.44765375843795996,0.9535598817329719,-0.1785304313410443,0.23921598550891154,0.39065091448013695,0.3196195686068667,4.66539054408956,0.2927937558472299,-0.48948534488264456,satik cyst,0.8357009486858078,0.7515449991997329,4.66539054408956,1015.7217682255612,0.44169390456389174,46.1202472132136,1015.7217682255612,qou,-1.2308527600377066,karbon,0.9640478176370783,-0.2193484364084887,1.8675315880627117,0.8060740284847862,1.1372873223479223,0.133044453667486,,0.7193713674706163,46.1202472132136,0.6585146520583698,0.1092210883875312,0.37667262010014657,0.26176575951275544,1.888183705716772,0.11526525623230446,4.255918877016385,0.029037144365693636,,3.4462126889539886,-1.007350087028388,0.8060740284847862,1.8586085449275827,398.6222353777006
3,0.4974463501523394,-0.04953538402171943,0.14102300617428798,0.14102300617428798,1.1948008151735332,2.6241959780626267e-05,-1.0323713970950479,0.8189946419632999,,0.031634601247091026,3.251989440566752,0.9864557768816519,0.4440610483200298,corro,-0.09969264181956028,-0.7519016452449092,3.251989440566752,1619.7114215890865,0.3785431891888489,14.730772965725691,1619.7114215890865,kiv,,silikon,-0.30671718090821054,-1.0910096655877553,0.9520631272996564,-0.8186912411507231,-1.4621486202502183,-0.904853882423927,-1.4621486202502183,0.8099166182890954,14.730772965725691,0.38133260148402426,,0.06841378115218966,1.1663427083488156,0.10098320431421301,0.9070924117866408,4.645115985368221,-0.25531271651001486,1.7976996497086046,1.0051944689698042,1.278740997111425,-0.8186912411507231,2.8125489378724637,527.9452341324748
4,0.6057006901600606,1.4537100687048945,0.12604885283837863,0.12604885283837863,-0.6354412896726043,0.6000726325858972,0.7767644692483656,0.9078683680954103,-0.18033370720281938,0.6621874558302009,5.580905683020648,0.045241588082625794,-0.7855527635006165,corroyi,1.242637389491783,-0.9117202632220883,,416.6597426620169,-0.27800219922297253,61.327425790655134,416.6597426620169,vel,-0.19096175905496957,tonga,-2.367032684118776,-1.3243352187192496,-0.016248980435382015,1.2746861781935102,-0.4035519161640713,-0.31264762613136377,-0.4035519161640713,-1.737931094892975,61.327425790655134,0.4527404908003809,0.13861065073889678,0.45894744038852253,1.0931875746108046,-0.8949507572965788,,-1.3373874797789054,0.3939580319135645,-0.3732886686540993,0.42795492207964336,-0.7262914234833757,1.2746861781935102,10.512383761686106,575.0526821783747
5,0.2222625248920661,-1.929362712718077,0.1464245835292287,,0.12258305069154814,0.44965326539673733,-1.2889051578221637,0.049454103231322266,1.5190610966224998,0.3585094499743065,1.0644346833389287,0.46013819680605905,-0.8022140340402304,corroyi,-0.8205812088709209,-0.46028485746134007,1.0644346833389287,471.45827355507674,-0.4305052937818528,5.447524102502155,471.45827355507674,qou,1.446748475628779,,-1.280785039430584,-0.2312290185034436,-0.8850463317493348,0.589013814676687,2.081448038874292,-2.372176162596397,2.081448038874292,0.14802387415991183,5.447524102502155,0.8396984530530421,,,-0.6775245254701971,,-0.8867256435008981,-2.290233707196775,0.6934726448454066,1.74841818798879,-1.0074856635284077,-2.203578652095941,0.589013814676687,,207.39929347907523
6,0.7593442980118189,-2.08957879819746,0.14710864965744275,0.14710864965744275,,0.8259142317835184,-1.175019136928643,0.394957660071781,-0.02051937834859081,,8.597934090397557,0.7844190125830584,0.24211011955625023,corroyi,-0.9355225225192376,-0.39031863163461317,8.597934090397557,155.6765535174624,0.21090381897261445,68.6510366530878,155.6765535174624,kiv,-0.2485858463931562,ERROR,-0.7713840314141572,1.352079892481722,0.6130899814426728,-0.2882233532575864,-0.2980511753150428,0.15201940240799067,-0.2980511753150428,-2.3729717449355325,68.6510366530878,0.5989581793168419,0.09215895283318021,0.39546308957950493,0.1278970345246415,1.01201411899955,-0.20658203031980055,3.0835298750874944,-0.37796037308773084,-1.8272238739299627,-0.1806532839845751,0.2177128696404218,-0.2882233532575864,0.3676444536342931,607.9974661052219
7,0.3275005035089005,0.40233973015672153,0.6674280060069894,0.6674280060069894,0.31216014040584333,0.5121678841676017,-1.0767198922729193,0.03298406045460256,1.135809697276144,-0.26232586443599787,10.719141301256846,0.04069477234702845,0.5951066851390332,sfer,0.8535492233030144,0.0027265653253479294,10.719141301256846,1711.890625292559,-0.6820288368420014,89.82726644925535,1711.890625292559,jut,0.17330773648608377,kristal,0.4230381113733363,-0.691475180172512,0.4630207980007224,1.3782009973056395,1.9637114409574643,0.2491300514822347,1.9637114409574643,1.756239580296931,89.82726644925535,0.4648703705992271,0.08300419747859478,0.14556224772862358,-0.020936948736967137,0.40282206218420624,1.6234513855646553,5.4826815274886345,-0.29024726378755494,-0.19843755438992,-0.027596162139703995,-2.305952748933066,1.3782009973056395,2.2317445846778736,148.67431372455124
8,0.9194854575472267,-0.059369723834308705,0.6684817910754367,0.6684817910754367,-1.236478286592349,0.6362625152202459,-0.09534109119668262,0.6296023174556485,0.04292942679165046,1.0612655391238293,2.7692561404380527,0.39792782444555874,-0.18643267907110314,corroyi,-0.4459505496191328,-0.139461801995315,2.7692561404380527,1299.0857702683525,,23.616359073554495,1299.0857702683525,jut,0.5907707426361307,silikon,1.2744402278489033,0.422030854828933,0.06948117306476656,0.4796468914397228,0.10933019391783316,1.6159815846631176,0.10933019391783316,1.2091918105913129,23.616359073554495,0.9141519231161006,0.1381539746279592,0.8731678027654899,0.5750340013185974,-0.8932000955310003,,5.27874553225695,0.2157177720927052,0.27589264613130104,-0.3059544315315921,-0.39624347768627777,0.4796468914397228,,
9,,-1.2503636065672628,0.9884772503451602,0.9884772503451602,-1.6181127952439567,,1.0384096825160127,0.5463861703270549,-0.7356488404060213,-0.706802539742748,4.066853807381785,,0.18217502910338457,sfer,0.8496420984697647,-1.8799138325329947,4.066853807381785,808.4755377543546,-0.224850871702585,65.72344050107249,808.4755377543546,kiv,0.9141501894346601,karbon,-1.3844153697641264,,-0.07810007011380515,,-1.7941943538732013,0.3738780580524234,-1.7941943538732013,1.089110040532902,65.72344050107249,0.2719971243464179,0.01959168348422946,0.3744470841948063,0.9670112449914474,0.5685768919502319,1.306576070686695,-5.641724753287165,-0.5764078725571231,-1.0749522391897843,-0.06256445277124267,0.202961179526955,0.8380139773119986,-8.727341770708344,534.3824947975759
